title;url;price
HP 17-cn1915nd;https://www.coolblue.nl/en/product/890652/hp-17-cn1915nd.html;"<strong class=""sales-price__current js-sales-price-current"">739,-</strong>"
Apple MacBook Pro 16 inches (2021) M1 Pro (10-core CPU/16-core GPU) 32GB/2TB Space Gray;https://www.coolblue.nl/en/product/894445/apple-macbook-pro-16-inches-2021-m1-pro-10-core-cpu-16-core-gpu-32gb-2tb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">3.839,-</strong>"
Microsoft Surface Pro 8 - i7/16/512 (Platinum);https://www.coolblue.nl/en/product/897658/microsoft-surface-pro-8-i7-16-512-platinum.html;"<strong class=""sales-price__current js-sales-price-current"">1.699,-</strong>"
Acer Aspire 3 A315-56-59Y1;https://www.coolblue.nl/en/product/841240/acer-aspire-3-a315-56-59y1.html;"<strong class=""sales-price__current js-sales-price-current"">549,-</strong>"
Apple MacBook Pro 16 inches (2021) M1 Max (10-core CPU/32-core GPU) 64GB/4TB Space Gray;https://www.coolblue.nl/en/product/894455/apple-macbook-pro-16-inches-2021-m1-max-10-core-cpu-32-core-gpu-64gb-4tb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">5.459,-</strong>"
HP Pavilion x360 14-dy0900nd;https://www.coolblue.nl/en/product/877668/hp-pavilion-x360-14-dy0900nd.html;"<strong class=""sales-price__current js-sales-price-current"">549,-</strong>"
Lenovo Legion 5 Pro 16ITH6H 82JD00ASMH;https://www.coolblue.nl/en/product/898360/lenovo-legion-5-pro-16ith6h-82jd00asmh.html;"<strong class=""sales-price__current js-sales-price-current"">2.369,-</strong>"
;https://www.coolblue.nlhttps://www.coolblue.nl/en/c/app.html;
HP EliteBook 850 G8 - 2Y2S4EA;https://www.coolblue.nl/en/product/889655/hp-elitebook-850-g8-2y2s4ea.html;"<strong class=""sales-price__current js-sales-price-current"">1.699,-</strong>"
Apple MacBook Air (2020) 16GB/512GB Apple M1 with 8-core GPU Gold;https://www.coolblue.nl/en/product/878573/apple-macbook-air-2020-16gb-512gb-apple-m1-with-8-core-gpu-gold.html;"<strong class=""sales-price__current js-sales-price-current"">1.579,-</strong>"
;https://www.coolblue.nlhttps://www.coolblue.nl/en/c/app.html;
Asus Zenbook 14 UX425JA-HM025T;https://www.coolblue.nl/en/product/892619/asus-zenbook-14-ux425ja-hm025t.html;"<strong class=""sales-price__current js-sales-price-current"">879,-</strong>"
Asus ExpertBook B1500CEAE-BQ2008R;https://www.coolblue.nl/en/product/890744/asus-expertbook-b1500ceae-bq2008r.html;"<strong class=""sales-price__current js-sales-price-current"">1.099,-</strong>"
HP Pavilion G 15-dk2980nd;https://www.coolblue.nl/en/product/879741/hp-pavilion-g-15-dk2980nd.html;"<strong class=""sales-price__current js-sales-price-current"">949,-</strong>"
Lenovo Legion 5 15ITH6H 82JH005NMH;https://www.coolblue.nl/en/product/882857/lenovo-legion-5-15ith6h-82jh005nmh.html;"<strong class=""sales-price__current js-sales-price-current"">1.549,-</strong>"
Apple MacBook Pro 13 inches (2020) 16GB/1TB Apple M1 Space Gray;https://www.coolblue.nl/en/product/874179/apple-macbook-pro-13-inches-2020-16gb-1tb-apple-m1-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">2.049,-</strong>"
MSI GF66 Katana 11UG-261NL;https://www.coolblue.nl/en/product/884356/msi-gf66-katana-11ug-261nl.html;"<strong class=""sales-price__current js-sales-price-current"">1.499,-</strong>"
MSI GL66 Pulse 11UDK-025NL;https://www.coolblue.nl/en/product/880137/msi-gl66-pulse-11udk-025nl.html;"<strong class=""sales-price__current js-sales-price-current"">1.199,-</strong>"
Asus Chromebook C434TA-AI0485;https://www.coolblue.nl/en/product/886176/asus-chromebook-c434ta-ai0485.html;"<strong class=""sales-price__current js-sales-price-current"">619,-</strong>"
Apple MacBook Pro 14 inches (2021) M1 Pro (8-core CPU/14-core GPU) 16GB/512GB Silver;https://www.coolblue.nl/en/product/894362/apple-macbook-pro-14-inches-2021-m1-pro-8-core-cpu-14-core-gpu-16gb-512gb-silver.html;"<strong class=""sales-price__current js-sales-price-current"">2.019,-</strong>"
Lenovo IdeaPad Flex 5 15ITL05 82HT0057MH;https://www.coolblue.nl/en/product/878333/lenovo-ideapad-flex-5-15itl05-82ht0057mh.html;"<strong class=""sales-price__current js-sales-price-current"">799,-</strong>"
Apple MacBook Pro 16 inches (2021) M1 Pro (10-core CPU/16-core GPU) 16GB/512GB Silver;https://www.coolblue.nl/en/product/894370/apple-macbook-pro-16-inches-2021-m1-pro-10-core-cpu-16-core-gpu-16gb-512gb-silver.html;"<strong class=""sales-price__current js-sales-price-current"">2.499,-</strong>"
Apple MacBook Pro 14 inches (2021) M1 Pro (10-core CPU/16-core GPU) 16GB/1TB Space Gray;https://www.coolblue.nl/en/product/894363/apple-macbook-pro-14-inches-2021-m1-pro-10-core-cpu-16-core-gpu-16gb-1tb-space-gray.html;"<strong class=""sales-price__current js-sales-price-current"">2.469,-</strong>"
